"AccountType";"Negate";"InResult";"InBalance"
"TILLGÅNGAR";0;0;1
"FONDER";1;0;1
"EGET KAPITAL OCH SKULDER";1;0;1
"INKOMSTER/INTÄKTER";1;1;0
"UTGIFTER/KOSTNADER";0;1;0
"EXTRAORDINÄRA INKOMSTER/INTÄKTER";1;1;0
"EXTRAORDINÄRA UTGIFTER/KOSTNADER";0;1;0
